251,4
85,5
228,2
380,4
169,5
74,1
132,1
203,4
271,1
258,5
288,2
151,1
17,2
242,1
323,4
322,1
43,2
93,5
354,5
325,1
322,2
377,1
243,4
262,4
150,1
130,1
139,5
356,5
381,2
95,2
124,5
189,2
388,5
333,1
266,2
299,1
289,4
327,4
299,2
199,4
374,5
289,2
123,2
147,2
99,2
43,1
344,2
282,1
396,5
294,1
4,2
17,5
71,2
379,4
287,1
32,2
19,2
309,2
146,1
340,2
304,1
300,1
212,2
345,5
165,4
127,1
397,1
117,2
120,2
396,2
210,1
120,5
223,2
117,1
310,1
247,2
269,4
171,2
368,1
395,1
82,5
357,2
71,1
255,5
255,4
168,2
55,5
128,1
253,2
364,4
318,1
222,2
399,1
133,1
301,1
323,5
28,2
148,4
27,1
83,1
279,2
134,4
375,2
342,1
237,2
220,1
114,2
394,4
383,5
30,4
238,2
179,4
180,5
232,1
236,5
67,2
41,4
143,4
367,1
347,2
257,5
13,2
57,2
139,1
168,1
185,2
18,4
277,1
80,2
365,2
348,4
371,2
172,1
164,4
249,2
82,4
188,2
20,2
64,5
365,4
90,1
195,2
361,4
283,2
385,5
319,5
353,2
161,1
161,5
243,2
61,4
252,2
234,1
268,5
2,1
248,1
222,5
138,1
82,2
221,2
372,5
230,1
175,5
323,1
80,4
46,1
75,2
162,1
107,4
159,5
312,5
348,2
350,2
9,1
73,5
337,4
128,5
278,4
235,2
141,2
30,2
140,1
208,2
246,1
202,1
379,5
226,5
257,2
