1,1555233952,1555361731,96,53,53,false
2,1555690381,1555759208,18,59,155,false
3,1555439490,1555514182,47,41,10,false
4,1555640965,1555725175,52,37,161,false
5,1555639879,1555648112,17,60,65,false
6,1555540855,1555688700,96,61,122,false
7,1555548609,1555657679,27,55,85,false
8,1555452049,1555498333,62,91,104,false
9,1555792211,1555803905,86,54,101,false
10,1555792060,1555799124,29,31,157,false
11,1555250570,1555438321,72,79,41,false
12,1555401117,1555634282,87,84,192,false
13,1555759208,1555803615,34,59,116,false
14,1555207459,1555250607,11,38,86,false
15,1555529939,1555769188,94,100,170,false
16,1555307548,1555531928,49,16,170,false
17,1555241412,1555634128,42,40,129,false
18,1555650852,1555763763,31,23,10,false
19,1555718279,1555738120,79,1,75,false
20,1555292501,1555657824,52,76,32,false
21,1555725175,1555727949,24,37,164,false
22,1555621505,1555670500,51,80,178,false
23,1555427056,1555648751,6,50,89,false
24,1555534085,1555595259,10,48,23,false
25,1555720823,1555800717,61,75,122,false
26,1555446533,1555805533,23,57,8,false
27,1555803615,1555805211,15,59,48,false
28,1555659559,1555731157,81,43,45,false
29,1555530617,1555574195,49,68,138,false
30,1555280352,1555684854,1,34,13,false
31,1555587747,1555741068,33,72,77,false
32,1555244215,1555518220,43,77,112,false
33,1555741068,1555776188,72,16,114,false
34,1555361731,1555375314,57,53,71,false
35,1555230224,1555727332,3,8,76,false
36,1555684854,1555753313,69,34,19,false
37,1555438761,1555679773,7,3,70,false
38,1555714991,1555785070,83,98,21,false
39,1555490355,1555759408,8,82,85,false
40,1555718005,1555732742,94,88,35,false
41,1555794887,1555808327,23,62,48,false
42,1555504628,1555514759,36,94,159,false
43,1555776188,1555808979,32,16,92,false
44,1555490621,1555789589,46,49,45,false
45,1555688237,1555797160,20,45,93,false
46,1555648112,1555670477,22,60,54,false
47,1555221784,1555309411,4,17,160,false
48,1555714254,1555726351,56,71,185,false
49,1555483331,1555783107,29,96,27,false
50,1555550316,1555806422,21,70,188,false
51,1555574195,1555603977,14,68,65,false
52,1555806422,1555807677,38,70,54,false
53,1555630309,1555657359,99,95,1,false
54,1555649964,1555790406,8,78,37,false
55,1555634128,1555782741,5,40,66,false
56,1555365549,1555636652,28,99,3,false
57,1555212146,1555736294,32,52,24,false
58,1555208106,1555701942,63,81,121,false
59,1555657824,1555665278,33,76,37,false
60,1555428390,1555471148,69,74,67,false
61,1555688700,1555746248,96,61,103,false
62,1555371542,1555481737,29,92,190,false
63,1555718686,1555785779,34,66,152,false
64,1555679773,1555688487,79,3,48,false
65,1555701942,1555782611,34,81,114,false
66,1555759408,1555783608,46,82,17,false
67,1555783107,1555809226,35,96,107,false
68,1555726351,1555792039,55,71,94,false
69,1555721518,1555766131,23,90,51,false
70,1555309411,1555635670,91,17,65,false
71,1555769188,1555805205,51,100,150,false
72,1555694695,1555766998,66,33,177,false
73,1555785779,1555799935,17,66,34,false
74,1555771942,1555783561,73,20,109,false
75,1555665278,1555693126,100,76,41,false
76,1555321564,1555585902,23,32,135,false
77,1555337231,1555752168,53,67,27,false
78,1555250007,1555454669,42,30,161,false
79,1555730603,1555741143,9,29,82,false
80,1555778660,1555784775,21,47,59,false
81,1555340445,1555686110,22,89,56,false
82,1555808327,1555809146,68,62,58,false
83,1555688487,1555708329,44,3,34,false
84,1555469586,1555753010,98,97,44,false
85,1555642706,1555664680,69,87,9,false
86,1555774199,1555806306,85,86,72,false
87,1555291234,1555568951,73,39,144,false
88,1555664680,1555700436,52,87,147,false
89,1555534472,1555568936,59,85,178,false
90,1555736294,1555761755,90,52,133,false
91,1555444242,1555512611,58,64,79,false
92,1555766998,1555802439,38,33,103,false
93,1555635670,1555667288,89,17,21,false
94,1555753010,1555806688,56,97,33,false
