28 - 98
63 - 33
65 - 8
47 - 62
72 - 61
26 - 99
88 - 67
46 - 16
99 - 80
72 - 64
31 - 3
2 - 93
42 - 19
49 - 24
42 - 48
62 - 4
33 - 16
14 - 98
97 - 49
52 - 63
76 - 36
2 - 95
75 - 70
2 - 19
24 - 4
14 - 13
58 - 51
14 - 100
30 - 39
69 - 21
10 - 19
3 - 9
74 - 100
32 - 31
90 - 7
19 - 63
4 - 51
40 - 72
33 - 21
39 - 2
81 - 6
83 - 77
32 - 89
90 - 51
56 - 79
85 - 63
91 - 8
74 - 60
28 - 77
53 - 15
48 - 65
90 - 9
69 - 91
80 - 81
66 - 51
48 - 100
75 - 63
35 - 20
47 - 37
6 - 43
27 - 71
15 - 73
92 - 68
17 - 67
11 - 100
56 - 30
89 - 73
59 - 85
66 - 27
89 - 19
8 - 56
44 - 100
92 - 12
46 - 16
53 - 74
7 - 86
27 - 63
21 - 68
13 - 28
41 - 96
28 - 66
22 - 66
52 - 36
25 - 1
83 - 34
2 - 76
78 - 60
6 - 83
16 - 1
72 - 26
82 - 62
12 - 52
97 - 60
9 - 32
41 - 69
56 - 61
40 - 15
16 - 96
46 - 50
42 - 84
7 - 5
10 - 78
8 - 41
52 - 95
9 - 60
9 - 56
1 - 15
78 - 70
24 - 54
55 - 1
61 - 8
44 - 85
49 - 93
40 - 31
95 - 21
20 - 34
12 - 96
8 - 72
56 - 14
64 - 17
100 - 24
58 - 19
23 - 24
42 - 9
46 - 99
75 - 19
29 - 62
26 - 94
25 - 13
35 - 37
86 - 68
11 - 34
58 - 96
30 - 45
21 - 93
82 - 14
44 - 37
49 - 76
100 - 66
58 - 56
97 - 45
91 - 85
5 - 81
92 - 16
32 - 63
87 - 92
46 - 77
98 - 100
82 - 38
55 - 30
32 - 17
100 - 22
6 - 75
74 - 37
16 - 45
39 - 13
34 - 90
75 - 73
17 - 86
60 - 92
40 - 99
44 - 13
62 - 28
8 - 12
25 - 61
54 - 9
74 - 63
6 - 96
32 - 44
22 - 99
25 - 17
58 - 18
43 - 71
72 - 94
55 - 86
37 - 23
24 - 31
46 - 76
50 - 68
26 - 93
25 - 51
56 - 99
51 - 88
60 - 48
30 - 81
64 - 88
62 - 65
86 - 49
73 - 16
14 - 30
39 - 44
56 - 74
33 - 42
22 - 95
27 - 11
26 - 22
87 - 74
92 - 84
47 - 41
29 - 64
66 - 18
72 - 61
1 - 27
81 - 78
39 - 55
44 - 89
11 - 85
24 - 53
61 - 10
48 - 41
58 - 43
74 - 63
11 - 7
43 - 50
44 - 34
75 - 96
76 - 84
91 - 8
73 - 5
80 - 98
15 - 11
39 - 78
24 - 95
97 - 15
35 - 42
34 - 43
84 - 33
75 - 31
37 - 94
74 - 23
20 - 58
89 - 94
49 - 64
86 - 18
52 - 61
80 - 54
65 - 92
98 - 13
38 - 29
20 - 93
